reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C414,"Kuwait, the State of",1291571
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C368,Iraq,1566743
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C686,Senegal,476768
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C356,India,2708375704
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C860,Uzbekistan,9089091
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C562,Niger,11182
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C624,Guinea-Bissau,431367
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C340,Honduras,1287915602
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C702,Singapore,3260511582
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C600,Paraguay,188674222
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C020,Andorra,2912
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C862,"Venezuela, Bolivarian Republic of",24428732
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C762,Tajikistan,626606
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C887,Yemen,4310972
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C108,Burundi,3417636
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C430,Liberia,700554
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C170,Colombia,3352094896
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C388,Jamaica,188403569
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C340,Honduras,1012061971
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C893,Montenegro,801842
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C368,Iraq,1012781
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C132,"Cabo Verde",1258115
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C807,"North Macedonia",35405480
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C860,Uzbekistan,10730125
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C360,Indonesia,4027757530
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C417,"Kyrgyz Republic",1441657
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C072,Botswana,59924
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C548,Vanuatu,5457334
